year,overall,ncaa_tournament,badgers_result,ncaa_tournament_region,ncaa_tournament_game_arena,ncaa_tournament_game_arena_location,attendance,game_time,game_date,broadcast_station,round,opponent,opponent_seed,opponent_half,opponent_final,badgers_seed,badgers_half,badgers_half_margin,badgers_final,badgers_final_margin,badgers_url,espn_recap_url,espn_boxscore_url,ncaa_tournament_region_city
2012,26-10,2-1,Loss,East Region,TD Garden,"Boston, Massachusetts","18,796",7:15 PM ET,"March 22, 2012",CBS,Sweet Sixteen,Syracuse,1,33,64,4,27,-6,63,-1,http://www.uwbadgers.com/sports/m-baskbl/recaps/032212aaa.html,http://scores.espn.go.com/ncb/recap?gameId=320820183,http://scores.espn.go.com/ncb/boxscore?gameId=320820183,"Boston, Massachusetts"
2012,26-9,2-0,Win,East Region,The Pit,"Albuquerque, New Mexico",NULL,6:10 PM ET,"March 17, 2012",TNT,Second Round,Vanderbilt,5,31,57,4,32,1,50,-7,http://www.uwbadgers.com/sports/m-baskbl/recaps/031712aaa.html,http://scores.espn.go.com/ncb/recap?gameId=320770275,http://scores.espn.go.com/ncb/boxscore?gameId=320770275,"Boston, Massachusetts"
2012,25-9,1-0,Win,East Region,The Pit,"Albuquerque, New Mexico",NULL,2:10 PM ET,"March 15, 2012",TNT,First Round,Montana,13,29,49,4,39,10,73,24,http://www.uwbadgers.com/sports/m-baskbl/recaps/031512aaa.html,http://scores.espn.go.com/ncb/recap?gameId=320750275,http://scores.espn.go.com/ncb/boxscore?gameId=320750275,"Boston, Massachusetts"
2011,25-9,2-1,Loss,Southeast Region,Smoothie King Center,"New Orleans, Louisiana","12,320",10:13 PM ET,"March 24, 2011",TBS,Sweet Sixteen,Butler,8,33,61,4,24,-9,54,-7,http://www.uwbadgers.com/sports/m-baskbl/recaps/032511aaa.html,http://scores.espn.go.com/ncb/recap?gameId=310830275,http://scores.espn.go.com/ncb/boxscore?gameId=310830275,"New Orleans, Louisiana"
2011,25-8,2-0,Win,Southeast Region,McKale Center,"Tucson, Arizona",NULL,9:05 PM ET,"March 19, 2011",TNT,Second Round,Kansas State,5,30,65,4,36,6,70,5,http://www.uwbadgers.com/sports/m-baskbl/recaps/032011aaa.html,http://scores.espn.go.com/ncb/recap?gameId=310780275,http://scores.espn.go.com/ncb/boxscore?gameId=310780275,"New Orleans, Louisiana"
2011,24-8,1-0,Win,Southeast Region,McKale Center,"Tucson, Arizona",NULL,7:27 PM ET,"March 17, 2011",truTV,First Round,Belmont,13,27,58,4,34,7,72,14,http://www.uwbadgers.com/sports/m-baskbl/recaps/031711aaa.html,http://scores.espn.go.com/ncb/recap?gameId=310760275,http://scores.espn.go.com/ncb/boxscore?gameId=310760275,"New Orleans, Louisiana"
2010,24-9,1-1,Loss,East Region,Veterans Memorial Arena,"Jacksonville, Florida","10,657",2:50 PM ET,"March 21, 2010",CBS,Second Round,Cornell,12,43,89,4,31,-12,69,-20,http://www.uwbadgers.com/sports/m-baskbl/recaps/032110aaa.html,http://scores.espn.go.com/ncb/recap?gameId=300800275,http://scores.espn.go.com/ncb/boxscore?gameId=300800275,"Syracuse, New York"
2010,24-8,1-0,Win,East Region,Veterans Memorial Arena,"Jacksonville, Florida","10,667",3:05 PM ET,"March 19, 2010",CBS,First Round,Wofford,13,19,49,4,27,8,53,4,http://www.uwbadgers.com/sports/m-baskbl/recaps/031910aaa.html,http://scores.espn.go.com/ncb/recap?gameId=300780275,http://scores.espn.go.com/ncb/boxscore?gameId=300780275,"Syracuse, New York"
2009,20-13,1-1,Loss,East Region,Taco Bell Arena,"Boise, Idaho","12,194",2:20 PM ET,"March 22, 2009",CBS,Second Round,Xavier,12,25,60,4,27,2,49,-11,http://www.uwbadgers.com/sports/m-baskbl/archive/061813aad.html,http://scores.espn.go.com/ncb/recap?gameId=294000021,http://scores.espn.go.com/ncb/boxscore?gameId=294000021,"Boston, Massachusetts"
2009,20-12,1-0,Win,East Region,Taco Bell Arena,"Boise, Idaho","12,194",9:55 PM ET,"March 20, 2009",CBS,First Round,Florida State,5,31,59,12,19,-12,61,2,http://www.uwbadgers.com/sports/m-baskbl/archive/061813aab.html,http://scores.espn.go.com/ncb/recap?gameId=294000019,http://scores.espn.go.com/ncb/boxscore?gameId=294000019,"Boston, Massachusetts"
2008,31-5,2-1,Loss,Midwest Region,Ford Field,"Detroit, Michigan","57,028",7:10 PM ET,"March 28, 2008",CBS,Sweet Sixteen,Davidson,10,36,73,3,36,0,56,-17,http://www.uwbadgers.com/sports/m-baskbl/spec-rel/032808aab.html,http://scores.espn.go.com/ncb/recap?gameId=284000014,http://scores.espn.go.com/ncb/boxscore?gameId=284000014,"Detroit, Michigan"
2008,31-4,2-0,Win,Midwest Region,Qwest Center,"Omaha, Nebraska","17,162",4:20 PM ET,"March 22, 2008",CBS,Second Round,Kansas State,11,33,55,3,39,6,72,17,http://www.uwbadgers.com/sports/m-baskbl/spec-rel/032208aab.html,http://scores.espn.go.com/ncb/recap?gameId=284000010,http://scores.espn.go.com/ncb/boxscore?gameId=284000010,"Detroit, Michigan"
2008,31-3,1-0,Win,Midwest Region,Qwest Center,"Omaha, Nebraska","17,162",9:50 PM ET,"March 20, 2008",CBS,First Round,Cal State Fullerton ,14,28,56,3,30,2,71,15,http://www.uwbadgers.com/sports/m-baskbl/archive/061813aaf.html,http://scores.espn.go.com/ncb/recap?gameId=284000009,http://scores.espn.go.com/ncb/boxscore?gameId=284000009,"Detroit, Michigan"
2007,30-6,1-1,Loss,Midwest Region,United Center,"Chicago, Illinois","20,916",2:30 PM ET,"March 18, 2007",CBS,Second Round,UNLV,7,39,74,2,27,-12,68,-6,http://www.uwbadgers.com/sports/m-baskbl/spec-rel/031807aaa.html,http://scores.espn.go.com/ncb/recap?gameId=274000059,http://scores.espn.go.com/ncb/boxscore?gameId=274000059,"St. Louis, Missouri"
