Title,Speaker,Day,Time,Place,Description
The great divide: Investigating income inequality,"Paul Overberg, Himanshu Ojha, Robert Gebeloff",Saturday,9 a.m. - 9:50 a.m.,Regency Center,"Income inequality zoomed into the headlines with the Occupy movement and the 2012 presidential campaign, but most coverage was more about heat than light. Talk of an ""income gap"" ""or the 99%"" obscures a complicated reality and ignores most of the story - trends in the middle class. Income inequality is growing in many places, shrinking in others. Its pace and texture vary. Some causes are global and national, some are local. Come learn better ways to cover a complex story, including how journalists did recent stories and data tools you can use to analyze local trends."
"Discovery, validation, publication: How to be ready for your social media Sandy",Steve Myers,Saturday,9 a.m. - 9:50 a.m.,Churchill Downs,Steve Myers will use examples from Hurricane Sandy and other news events to show you how to find photos and information on social media and evaluate their authenticity.
SPSS 1: Introduction to SPSS,Ken McCall,Saturday,9 a.m. - 9:50 a.m.,Keeneland,Navigate SPSS using descriptive statistics and frequencies. Create basic counts and percentages to help you understand your data. Do crosstabs and statistical tests to show the data in different ways.
Access 1,Peter Aldhous,Saturday,9 a.m. - 9:50 a.m.,Shawnee/Cherokee,"An introduction to Microsoft Access using SQL. &nbsp;Learn to interview your data by selecting, sorting and filtering."
Building data-driven beats,"Chris Amico, Matthew Waite, Reginald Chua",Saturday,9 a.m. - 9:50 a.m.,Regency South,
Fundamentals of programming in Python,Serdar Tumgoren,Saturday,9 a.m. - 9:50 a.m.,Kentucky Suite,
How can we get the widest impact out of technology projects?,"Larry Birnbaum, Rich Gordon, Ted Han",Saturday,9 a.m. - 9:50 a.m.,Regency North,"*Moderated by Rich Gordon, Medill School of Journalism, Northwestern University"
"Dispatch: Secure, authenticated, instant mobile publishing","Kanak Biscuitwala, Susan McGregor, Mathias Lecuyer, Madeline Ross",Saturday,10 a.m. - 10:50 a.m.,Churchill Downs,"Dispatch is a unique publishing tool that allows journalists working in conflict areas to publish their work and communicate with sources instantly and securely. Using a unique, identity-based encryption scheme, Dispatch helps separate your published work from your real identity, while still giving your readers confidence that the material you post really came from you. And, while it publishes to the internet, Dispatch helps make sure your work gets out even when the internet is down, through direct, device-to-device sharing that publishes to the web as soon as connectivity is restored."
SPSS 2: Basic linear regression,David Donald,Saturday,10 a.m. - 10:50 a.m.,Keeneland,
The one-query story: Quick hits for your newsroom,"Megan Luther, Kate Martin, Grant Smith",Saturday,10 a.m. - 10:50 a.m.,Regency Center,"**Moderated by Megan Luther, IRE/NICAR"
